firstName,surname,weight,height,memberID,category
Cecilia,Sanders,76,161,SF100,N
Neil,Knowles,54,184,SF101,R
Aspen,Booker,80,180,SF102,N
Simon,Mcdonald,66,172,SF103,N
Uta,Trujillo,57,179,SF104,N
Valentine,Vinson,70,163,SF105,R
Tana,Anderson,70,157,SF106,R
Dai,Hebert,78,175,SF107,R
Darius,Mendoza,60,168,SF108,N
Marah,Hoover,70,172,SF109,N
Barbara,Ellison,57,185,SF110,R
Hakeem,Cantrell,63,185,SF111,R
Phoebe,Cline,69,164,SF112,N
Jonah,Hardy,73,156,SF113,N
Alexa,Sawyer,61,176,SF114,R
Hasad,Pope,57,169,SF115,N
Shelly,Jacobson,79,176,SF116,N
Kathleen,Dickerson,70,168,SF117,R
Aristotle,Bond,68,170,SF118,R
Joelle,Collier,76,180,SF119,N
